ID,Cluster,ClusterSize,locus,description,Coregenes_Mustroph2009,Cluster1genes_Lee2011,prt6-1seedAirUP,ate1ate2SeedlingAirUP,prt6-1SeedlingAirUP,TFfamily,comment2,prt6seedvsWTseed_Log2signal,ate1ate2NSvsWTNS_Log2signal,prt6NSvsWTNS_Log2signal,ate1ate2HSvsWTHS_Log2signal,prt6HSvsWTHS_Log2signal,WTHSvsWTNS_Log2signal,ate1ate2HSvsate1ate2NS_Log2signal,prt6HSvsprt6NS_Log2signal,prt6seedvsWTseed_adj-p,ate1ate2NSvsWTNS_adj-p,prt6NSvsWTNS_adj-p,ate1ate2HSvsWTHS_adj-p,prt6HSvsWTHS_adj-p,WTHSvsWTNS_adj-p,ate1ate2HSvsate1ate2NS_adj-p,prt6HSvsprt6NS_adj-p
253874_at,1,29,AT4G27450,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G15450.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39242.1); contains domain G3DSA:3.60.20.10 (G3DSA:3.60.20.10); contains domain SSF56235 (SSF56235),Core cell type,,Up,Up,Up,,,1.180657309,3.269893555,3.323209983,0.704691241,0.745150704,3.234961266,0.669758952,0.656901987,2.31E-06,5.58E-11,5.31E-11,0.013316705,0.007086553,5.89E-11,0.019123108,0.016047456
254200_at,1,29,AT4G24110,similar to unnamed protein product [Vitis vinifera] (GB:CAO62924.1),Core cell type,Core low oxygen,Up,Up,Up,,,1.339638219,3.235638353,2.825951684,0.493718397,0.768149695,4.117257856,1.3753379,2.059455866,1.50E-06,1.91E-10,1.54E-09,0.17769281,0.010814388,7.30E-12,5.71E-05,2.69E-07
255807_at,1,29,AT4G10270,wound-responsive family protein,Core cell type,Core low oxygen,,Up,Up,,,0.894209971,3.016415696,2.811814362,0.054528956,0.307425342,4.366264676,1.404377935,1.861875656,5.42E-06,1.19E-11,4.45E-11,0.990493429,0.212849295,1.20E-13,1.74E-06,2.93E-08
257153_at,1,29,AT3G27220,kelch repeat-containing protein,Core cell type,Core low oxygen,,Up,Up,,,0.905029865,2.895630109,2.613555073,0.057815851,0.274501683,4.095952934,1.258138676,1.756899543,2.44E-06,9.60E-12,4.94E-11,0.983406564,0.251511196,1.20E-13,2.51E-06,2.93E-08
257925_at,1,29,AT3G23170,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14450.1),Core cell type,Core low oxygen,Up,Up,,,,1.171917611,1.06945651,0.812975533,-0.226487248,0.124847164,4.194355664,2.898411906,3.506227296,1.23E-05,0.000947214,0.010057422,0.831960761,0.89387404,1.16E-11,5.67E-08,1.42E-09
257947_at,1,29,AT3G21720,"isocitrate lyase, putative",NA,,,Up,Up,,SUB1A_UP,0.298082389,5.312790572,4.671846044,4.601359567,4.361710517,0.443327787,-0.268103218,0.133192259,0.236370863,9.60E-12,5.31E-11,2.88E-10,6.73E-10,0.608158255,0.728562625,0.926323279
258487_at,1,29,AT3G02550,LBD41 (LOB DOMAIN-CONTAINING PROTEIN 41),Core cell type,Core low oxygen,,Up,Up,LOB,SUB1C_UP,0.958098656,3.146423647,3.192582878,-0.071118374,0.129727636,5.017188478,1.799646457,1.954333237,2.82E-05,1.23E-10,1.16E-10,0.989121946,0.860334391,3.31E-13,1.74E-06,2.25E-07
258879_at,1,29,AT3G03270,universal stress protein (USP) family protein / early nodulin ENOD18 family protein,NA,Core low oxygen,Up,Up,Up,,,1.946015998,3.705558699,3.396415894,2.015925666,1.92618987,2.021563824,0.331930791,0.551337801,6.10E-08,1.30E-10,5.15E-10,2.49E-06,3.72E-06,5.96E-07,0.535365926,0.124323636
258930_at,1,29,AT3G10040,transcription factor,Core cell type,Core low oxygen,Up,Up,Up,,,1.212155552,2.041188743,1.708156858,-0.481412573,-0.28526457,4.975290628,2.452689312,2.9818692,4.51E-06,1.68E-07,2.12E-06,0.190541835,0.486964926,6.81E-13,7.58E-08,3.60E-09
259879_at,1,29,AT1G76650,CML38; calcium ion binding,Core cell type,Core low oxygen,Up,Up,Up,,,3.750501434,3.870622446,3.31834963,0.582299431,0.727443084,5.147356411,1.859033395,2.556449865,3.17E-12,2.05E-11,1.68E-10,0.080122168,0.014815432,5.07E-13,1.76E-06,2.44E-08
260668_at,1,29,AT1G19530,similar to unnamed protein product [Vitis vinifera] (GB:CAO61141.1),Core cell type,,Up,Up,Up,,,1.516493581,4.362580198,4.675735533,1.417524457,1.703425206,3.425634797,0.480579057,0.45332447,0.000237209,1.69E-08,6.23E-09,0.011884051,0.00240831,3.79E-07,0.610663036,0.624557443
260869_at,1,29,AT1G43800,"acyl-(acyl-carrier-protein) desaturase, putative / stearoyl-ACP desaturase, putative",Core cell type,Core low oxygen,Up,Up,Up,,,3.344894684,3.642993346,2.964653162,2.352868022,2.145437297,1.751756296,0.461630972,0.932540431,1.81E-09,6.19E-09,1.26E-07,6.82E-06,1.79E-05,7.28E-05,0.470704677,0.028283673
261567_at,1,29,AT1G33055,unknown protein,Core cell type,Core low oxygen,Up,Up,Up,,,2.228005147,3.837295753,3.671328941,0.091216785,0.236637502,4.891975148,1.145896179,1.457283709,1.83E-08,1.30E-10,2.77E-10,0.985778124,0.706918761,4.53E-12,0.001414718,8.04E-05
263096_at,1,29,AT2G16060,AHB1 (ARABIDOPSIS HEMOGLOBIN 1),Core cell type,Core low oxygen,Up,Up,Up,,,1.865038975,3.496579138,3.456450661,1.200102231,1.214570636,2.477299707,0.180822801,0.235419682,1.54E-09,3.90E-12,7.57E-12,1.42E-05,1.20E-05,2.55E-10,0.671265065,0.483669948
264846_at,1,29,AT2G17850,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G66170.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO48196.1); contains InterPro domain Rhodanese-like (InterPro:IPR001763),Core cell type,Core low oxygen,Up,Up,Up,,,3.582527129,5.54085133,5.362780071,1.856441513,1.857837683,4.346090745,0.661680928,0.841148357,1.39E-12,1.12E-13,1.90E-13,6.18E-07,5.23E-07,8.07E-13,0.016319571,0.001543466
264953_at,1,29,AT1G77120,ADH1 (ALCOHOL DEHYDROGENASE 1),Core cell type,Core low oxygen,Up,Up,Up,,SUB1A_Sub1C_UP,2.854207714,3.534165213,3.136633012,0.708208225,0.792117914,3.646082181,0.820125194,1.301567084,1.44E-10,5.65E-11,3.37E-10,0.02358651,0.008558944,3.64E-11,0.007673333,5.90E-05
265948_at,1,29,AT2G19590,ACO1 (ACC OXIDASE 1); 1-aminocyclopropane-1-carboxylate oxidase,Core cell type,Core low oxygen,Up,Up,Up,,,1.86213845,3.987130265,3.624928846,1.912675537,1.671890592,2.197303239,0.122848511,0.244264985,5.25E-09,3.90E-12,1.28E-11,3.52E-07,1.49E-06,6.95E-09,0.85778927,0.543374248
267024_s_at,1,29,AT2G34390,"[AT2G34390, NIP2;1/NLM4 (NOD26-LIKE INTRINSIC PROTEIN 2;1); lactate transmembrane transporter/ water channel];[AT2G29870, major intrinsic family protein / MIP family protein]",Core cell type,Core low oxygen,,Up,Up,,,0.775695542,2.175654888,1.450876834,-0.088091964,0.01571245,4.179035722,1.91528887,2.743871339,0.003492911,2.43E-06,0.000302837,0.99183797,0.99584456,2.10E-10,2.03E-05,1.84E-07
267024_s_at,1,29,AT2G29870,"[AT2G34390, NIP2;1/NLM4 (NOD26-LIKE INTRINSIC PROTEIN 2;1); lactate transmembrane transporter/ water channel];[AT2G29870, major intrinsic family protein / MIP family protein]",Core cell type,Core low oxygen,,Up,Up,,,0.775695542,2.175654888,1.450876834,-0.088091964,0.01571245,4.179035722,1.91528887,2.743871339,0.003492911,2.43E-06,0.000302837,0.99183797,0.99584456,2.10E-10,2.03E-05,1.84E-07
245171_at,2,51,AT2G47560,zinc finger (C3HC4-type RING finger) family protein,NA,,Up,Up,Up,,,2.794104171,2.056020214,1.661979999,1.094853746,0.963943087,0.950197926,-0.010968542,0.252161013,2.10E-08,2.48E-05,0.000289947,0.016591421,0.027458746,0.039550531,0.994614357,0.814821882
245324_at,2,51,AT4G17260,"L-lactate dehydrogenase, putative",NA,,,,,,,0.332354737,0.762383586,0.67053626,-0.015783332,-0.01764835,1.158734684,0.380567767,0.470550074,0.097231459,0.014966851,0.032847921,0.996728085,0.993819932,0.000247219,0.382292807,0.177540556
245401_at,2,51,AT4G17670,senescence-associated protein-related,Core cell type,,,Up,Up,,,0.88749615,1.833462777,1.499810989,0.245055833,0.173092194,2.497100051,0.908693108,1.170381257,0.000856335,1.24E-05,0.000135342,0.863603415,0.856584066,1.55E-07,0.018068522,0.001538694
245586_at,2,51,AT4G14980,DC1 domain-containing protein,NA,,,Up,Up,,,0.755547189,2.560077485,2.226659683,0.994268833,0.814114866,2.003540453,0.437731801,0.590995636,5.29E-05,1.59E-10,1.37E-09,0.000151072,0.001021874,5.65E-09,0.091435484,0.010610902
245821_at,2,51,AT1G26270,phosphatidylinositol 3- and 4-kinase family protein,Core cell type,,,Up,,,,0.958350875,1.107799823,0.892982332,0.29863669,0.627307899,1.322535642,0.513372509,1.056861209,5.37E-06,2.88E-05,0.000343289,0.427254428,0.009336185,2.08E-06,0.045888632,5.26E-05
245951_at,2,51,AT5G19550,ASP2 (ASPARTATE AMINOTRANSFERASE 2),NA,Core low oxygen,Up,Up,Up,,,1.498503487,1.955542358,1.734234107,0.735403188,0.702201009,1.567327614,0.347188443,0.535294516,7.84E-08,4.74E-08,2.83E-07,0.006330981,0.007835167,7.10E-07,0.320832768,0.044434833
245998_at,2,51,AT5G20830,SUS1 (SUCROSE SYNTHASE 1); UDP-glycosyltransferase/ sucrose synthase,NA,Core low oxygen,Up,Up,Up,,,1.927799624,1.742292003,1.52460378,0.91770845,0.891617652,1.68911045,0.864526897,1.056124322,4.65E-07,4.25E-05,0.00020789,0.024308538,0.021631792,4.38E-05,0.036658681,0.006294769
246001_at,2,51,AT5G20790,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G43110.1),NA,,,Up,Up,,,-1.93629718,1.855820998,2.800603287,1.908721701,2.171514876,1.968314056,2.021214758,1.339225645,6.91E-08,3.15E-06,9.12E-09,5.52E-06,1.43E-06,8.80E-07,2.38E-06,0.000139593
246071_at,2,51,AT5G20150,SPX (SYG1/Pho81/XPR1) domain-containing protein,NA,,,Up,Up,,,-0.310753837,1.290879512,1.909247455,0.762206677,1.195408156,2.401927596,1.873254761,1.688088297,0.082400466,2.78E-05,1.68E-07,0.007791651,0.000121934,5.13E-09,1.29E-06,1.13E-06
247151_at,2,51,AT5G65640,BHLH093 (BETA HLH PROTEIN 93); DNA binding / transcription factor,NA,,,Up,Up,bHLH,,0.413205491,1.895331202,1.499388663,0.375950494,0.348694204,1.40030184,-0.119078867,0.249607381,0.04724025,1.33E-06,2.97E-05,0.483268902,0.390671961,4.07E-05,0.906468889,0.667123997
247524_at,2,51,AT5G61440,thioredoxin family protein,Core cell type,,Up,,,,,1.916465986,0.301142455,0.404575984,0.256658249,0.448221071,1.069332314,1.024848108,1.1129774,1.81E-09,0.329232753,0.124470264,0.5768225,0.068186036,3.67E-05,0.00013535,3.59E-05
247851_at,2,51,AT5G58070,"lipocalin, putative",Core cell type,,,Up,,,,0.683623611,1.001614603,0.671113186,0.408178124,0.320471339,0.798040286,0.204603807,0.447398439,0.000204816,0.000107067,0.005546392,0.160737695,0.237445947,0.000877808,0.631279208,0.075342476
248191_at,2,51,AT5G54130,calcium-binding EF hand family protein,NA,,,,,,,0.559330748,0.833402197,0.54463464,0.550981223,0.575256179,0.969683697,0.687262723,1.000305236,0.002659058,0.002032523,0.046944108,0.05856841,0.031419871,0.000344537,0.013042591,0.000283565
248719_at,2,51,AT5G47910,RBOHD (RESPIRATORY BURST OXIDASE PROTEIN D),Core cell type,,,,,,,0.869208899,0.876124394,0.470156271,0.027292157,0.557366478,2.010937367,1.162105129,2.098147574,8.60E-06,0.000241451,0.041342823,0.995820191,0.014114072,3.68E-09,1.44E-05,8.22E-09
248820_at,2,51,AT5G47060,senescence-associated protein-related,Core cell type,,,Up,,,,0.973842536,1.00698476,0.725055937,0.145298537,0.111615334,1.612371983,0.750685761,0.99893138,7.46E-05,0.001483023,0.019937103,0.942887194,0.90789348,4.76E-06,0.020819113,0.001438055
248964_at,2,51,AT5G45340,"CYP707A3 (cytochrome P450, family 707, subfamily A, polypeptide 3); oxygen binding",Core cell type,,,Up,,,,-0.31020562,1.120738591,0.861075571,-0.604802233,-0.525082811,2.643781734,0.918240911,1.257623352,0.088880601,0.000189605,0.002745411,0.046295009,0.066722769,1.78E-09,0.00184012,5.09E-05
249675_at,2,51,AT5G35940,jacalin lectin family protein,NA,,,,Up,,,-0.181362949,0.818087117,1.620049889,0.398188106,0.777521046,1.401499192,0.981600181,0.55897035,0.467982771,0.025637504,4.27E-05,0.53054322,0.0310128,0.000151593,0.00834099,0.161833939
250472_at,2,51,AT5G10210,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65030.1); similar to 80A08_18 [Brassica rapa subsp. pekinensis] (GB:AAZ67603.1); contains InterPro domain C2 calcium-dependent membrane targeting (InterPro:IPR000008),NA,,,Up,Up,,,0.561630714,1.703664401,1.489138389,1.509718415,1.130351836,1.105811095,0.911865108,0.747024542,0.010647609,7.34E-06,3.91E-05,6.35E-05,0.001106309,0.000719392,0.006980947,0.023163488
251356_at,2,51,AT3G61060,ATPP2-A13,Core cell type,,,,,,SUB1A_DOWN,0.790112629,0.798802062,0.94870299,0.227018973,0.670263471,1.067141011,0.495357922,0.788701492,0.000497037,0.009613444,0.002418543,0.820389719,0.029532758,0.000540248,0.178574912,0.009464566
251420_at,2,51,AT3G60490,"AP2 domain-containing transcription factor TINY, putative",NA,,,,Up,AP2-EREBP,,0.415423731,1.007312681,1.174688538,0.747403235,0.789365419,0.918926367,0.65901692,0.533603248,0.152063492,0.026977143,0.00902011,0.171092143,0.086892237,0.057430012,0.242281665,0.35983156
252168_at,2,51,AT3G50440,hydrolase,NA,,,Up,,,,0.364391711,1.158280253,0.791288828,-0.003248832,0.046718354,1.585553115,0.424024029,0.840982641,0.009672152,3.25E-06,0.000302837,0.998636516,0.958334469,3.23E-08,0.062764153,0.000139292
252414_at,2,51,AT3G47420,"glycerol-3-phosphate transporter, putative / glycerol 3-phosphate permease, putative",NA,,,,Up,,,-0.163129565,0.808235684,1.285125414,0.897905761,1.048399372,1.145438331,1.235108408,0.908712289,0.433241455,0.008093236,8.52E-05,0.004178676,0.001106309,0.000212196,0.000182632,0.002626693
252896_at,2,51,AT4G39480,"CYP96A9 (cytochrome P450, family 96, subfamily A, polypeptide 9); oxygen binding",NA,,,Up,Up,,,0.184381502,1.247834624,1.138105523,-0.010236764,-0.030908927,2.863422323,1.605350935,1.694407874,0.531087983,0.002772507,0.006330364,0.997501267,0.990773099,1.23E-07,0.000294255,0.000115345
254042_at,2,51,AT4G25810,"XTR6 (XYLOGLUCAN ENDOTRANSGLYCOSYLASE 6); hydrolase, acting on glycosyl bonds",NA,,,,,,SUB1A_UP,-0.217569148,0.83427985,0.945819097,0.387335172,0.662704257,1.148834313,0.701889634,0.865719473,0.445693027,0.05211845,0.022590453,0.667005924,0.129923821,0.005070138,0.148213524,0.03951404
254197_at,2,51,AT4G24040,"ATTRE1/TRE1 (TREHALASE 1); alpha,alpha-trehalase/ trehalase",NA,,,Up,Up,,,0.938050191,1.370826997,1.169149114,0.674321592,0.725725371,0.777520679,0.081015274,0.334096936,6.59E-05,2.88E-05,0.000190323,0.031181942,0.014556938,0.00859358,0.93950806,0.404522147
254300_at,2,51,AT4G22780,ACR7 (ACT Domain Repeat 7),Core cell type,,Up,Up,Up,,,2.022154526,1.316230086,1.042695998,0.105818598,0.368196974,2.748505553,1.538094064,2.07400653,1.84E-09,9.10E-06,0.000143217,0.955564036,0.187175916,2.55E-10,2.51E-06,3.96E-08
254562_at,2,51,AT4G19230,"CYP707A1 (cytochrome P450, family 707, subfamily A, polypeptide 1); oxygen binding",NA,,,Up,,,,-0.567439324,1.219636681,0.716819469,-0.35490631,-0.347244756,1.475202154,-0.099340838,0.411137928,0.022060469,0.001405476,0.066443791,0.661206139,0.512691593,0.000136065,0.94142441,0.427218317
256940_at,2,51,AT3G30720,unknown protein,NA,,Up,,Up,,SUB1C_UP,4.380383674,-0.639324513,4.764766368,-0.367439622,5.129677169,-0.04703351,0.224851381,0.317877291,4.61E-10,0.302360375,1.36E-09,0.820297147,2.34E-09,0.999657156,0.869599594,0.775881392
257467_at,2,51,AT1G31320,LBD4 (LOB DOMAIN-CONTAINING PROTEIN 4),NA,,,Up,Up,LOB,,0.74310679,1.045360855,1.04046857,0.57254357,0.498024769,0.939619773,0.466802487,0.397175972,0.000450058,0.000409026,0.000439177,0.068401678,0.090343359,0.000931988,0.17065206,0.235969876
257654_at,2,51,AT3G13310,DNAJ heat shock N-terminal domain-containing protein,NA,,Up,Up,,,,2.205330543,1.052245373,0.968376018,0.213502959,0.441129481,2.880048331,2.041305917,2.352801793,1.21E-08,0.001632863,0.003472073,0.871401903,0.230627368,4.47E-09,1.76E-06,1.84E-07
257844_at,2,51,AT3G28480,"oxidoreductase, 2OG-Fe(II) oxygenase family protein",NA,,,,,,,0.459562272,0.795116031,0.53157263,0.248474566,0.442287673,1.06680564,0.520164175,0.977520683,0.006566314,0.001671992,0.035327178,0.626158386,0.083509792,5.15E-05,0.053500885,0.000176592
257922_at,2,51,AT3G23150,ETR2 (ETHYLENE RESPONSE 2); receptor,Core cell type,Core low oxygen,,Up,Up,Orphans,,0.228915099,1.205933224,1.511517631,-0.071076638,0.216037002,1.592485109,0.315475247,0.29700448,0.323290996,0.000757539,6.65E-05,0.993168037,0.76141946,2.25E-05,0.595280039,0.612998888
258158_at,2,51,AT3G17790,ATACP5 (acid phosphatase 5); acid phosphatase/ protein serine/threonine phosphatase,NA,,,Up,Up,,,-0.07890082,1.197112724,1.418309287,1.455885556,1.593048802,0.895366434,1.154139266,1.070105949,0.689951291,3.13E-05,4.19E-06,6.82E-06,2.24E-06,0.000601768,8.79E-05,0.000110119
259502_at,2,51,AT1G15670,kelch repeat-containing F-box family protein,NA,,,Up,Up,,,0.582455292,1.2319391,1.191520677,0.10410224,0.33898244,1.390744814,0.262907955,0.538206578,0.004412527,0.000111145,0.000165293,0.964667459,0.355839112,1.75E-05,0.612575988,0.08576738
260427_at,2,51,AT1G72430,auxin-responsive protein-related,NA,,Up,,,,,1.165709962,0.711657315,0.640830036,0.190987303,0.191567278,1.259053567,0.738383556,0.809790809,1.17E-06,0.005629387,0.012049331,0.808958579,0.654558298,8.34E-06,0.00505464,0.001538694
260451_at,2,51,AT1G72360,"ethylene-responsive element-binding protein, putative",NA,Core low oxygen,,Up,Up,AP2-EREBP,,-0.150586733,1.460115859,1.375472957,-0.275909379,-0.244981845,2.924903724,1.188878486,1.304448922,0.446346527,9.41E-06,2.19E-05,0.64837859,0.567707315,4.77E-10,0.000157213,3.85E-05
260662_at,2,51,AT1G19540,"isoflavone reductase, putative",NA,,Up,Up,Up,,,1.299055186,1.492311195,1.640691278,0.671395767,0.867015908,1.248539272,0.427623843,0.474863903,1.34E-05,8.53E-05,3.04E-05,0.089935007,0.014274632,0.00043768,0.391342298,0.261790451
261177_at,2,51,AT1G04770,male sterility MS5 family protein,NA,,,,,,,0.99004011,0.653816558,0.47547592,-0.202849726,-0.284653568,1.276031062,0.419364778,0.515901574,1.11E-06,0.002530736,0.027929356,0.662904224,0.240374275,8.10E-07,0.076593733,0.016169394
261717_at,2,51,AT1G18400,BEE1 (BR ENHANCED EXPRESSION 1); transcription factor,NA,,,Up,Up,bHLH,,0.01479278,1.11534598,1.406890295,0.929971836,1.014783209,1.076347298,0.890973154,0.684240213,0.965499266,0.002298717,0.000233092,0.013859038,0.005970919,0.002645738,0.018869626,0.070200716
261826_at,2,51,AT1G11580,ATPMEPCRA; pectinesterase,NA,,,Up,Up,,,0.370188308,1.326841144,1.219142193,0.61272844,0.430082714,1.093555983,0.37944328,0.304496505,0.044184321,2.48E-05,6.97E-05,0.041478411,0.154115037,0.000157159,0.309096305,0.439487658
262170_at,2,51,AT1G74940,senescence-associated protein-related,Core cell type,,Up,Up,,,,1.058808988,1.02230206,0.895129205,0.146720224,0.213400243,1.694718201,0.819136365,1.012989239,4.84E-06,0.000220295,0.000847273,0.911575033,0.604773123,2.74E-07,0.002592261,0.000196863
263216_s_at,2,51,AT1G30720,"[AT1G30720, FAD-binding domain-containing protein];[AT1G30730, FAD-binding domain-containing protein]",NA,,,,Up,,,-0.219289458,0.897483919,1.267326444,0.319950226,0.856987378,1.222344898,0.644811204,0.812005831,0.495683611,0.063156805,0.006034497,0.845027504,0.065031869,0.007681504,0.277116899,0.096366171
263216_s_at,2,51,AT1G30730,"[AT1G30720, FAD-binding domain-containing protein];[AT1G30730, FAD-binding domain-containing protein]",NA,,,,Up,,,-0.219289458,0.897483919,1.267326444,0.319950226,0.856987378,1.222344898,0.644811204,0.812005831,0.495683611,0.063156805,0.006034497,0.845027504,0.065031869,0.007681504,0.277116899,0.096366171
263295_at,2,51,AT2G14210,ANR1; DNA binding / transcription factor,NA,,,Up,Up,MADS,,0.064751126,1.529150543,1.394286429,1.266427919,1.231382784,0.882054623,0.619331999,0.719150978,0.850691035,0.000321625,0.000797748,0.002686056,0.003166545,0.038839139,0.215667922,0.094145423
263402_at,2,51,AT2G04050,MATE efflux family protein,NA,,,,Up,,,-0.2097338,0.908578876,1.348410414,1.034828755,1.118318278,1.004450325,1.130700204,0.774358188,0.525674757,0.064714676,0.004103971,0.035916742,0.016813008,0.041946407,0.020261057,0.124323636
264469_at,2,51,AT1G67100,LBD40 (LOB DOMAIN-CONTAINING PROTEIN 40),NA,,,Up,Up,LOB,,0.793302352,2.44120524,1.814949244,1.172697571,1.066554233,1.526449229,0.257941559,0.778054218,0.000348085,1.18E-08,8.59E-07,0.000296957,0.000760497,4.88E-06,0.620936821,0.008069482
264647_at,2,51,AT1G09090,ATRBOHB (RESPIRATORY BURST OXIDASE HOMOLOG B); FAD binding / calcium ion binding / iron ion binding / oxidoreductase,NA,,Up,Up,,,SUB1A_DOWN,1.871133311,1.010973811,0.859727256,0.112261872,-0.126072609,1.608087383,0.709375444,0.622287519,5.25E-09,0.000241451,0.001281155,0.954371023,0.850597733,5.05E-07,0.008426363,0.016989361
264836_at,2,51,AT1G03610,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G03420.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24103.1); contains InterPro domain Protein of unknown function DUF789 (InterPro:IPR008507),NA,,Up,,,,,1.24225093,0.587611367,0.804042982,0.083974999,0.656067189,2.100301604,1.596665237,1.952325811,2.78E-06,0.052887523,0.006118268,0.982310899,0.024147147,6.76E-08,7.36E-06,3.59E-07
265478_at,2,51,AT2G15890,MEE14 (maternal effect embryo arrest 14),NA,,Up,,,,,1.035369095,0.656937392,0.73471508,0.206242634,0.530152987,1.189690352,0.738995594,0.985128259,4.89E-06,0.010696655,0.004299168,0.771583548,0.039549915,1.87E-05,0.005203144,0.000210137
